Repositories
beam-cloud/beta9
PawanOsman/ChatGPT
myshell-ai/OpenVoice
unslothai/unsloth
infiniflow/ragflow
ItzCrazyKns/Perplexica
VinciGit00/Scrapegraph-ai
assafelovic/gpt-researcher
toeverything/AFFiNE
Mintplex-Labs/anything-llm
sweepai/sweep
embedchain/embedchain
bentoml/OpenLLM
griptape-ai/griptape
StanGirard/quivr
hwchase17/langchain
continuedev/continue
open-webui/open-webui
ollama/ollama
BerriAI/litellm
Kong/kong
Kong/kong-manager
